keyword,url,intent,priority,notes
hide zero cards,https://hidezerocards.org/,navigational,1,Brand term
place value cards,https://hidezerocards.org/,informational,1,High relevance classroom term
place value teaching tool,https://hidezerocards.org/,commercial,1,Teacher tool focus
interactive place value tool,https://hidezerocards.org/,informational,1,Feature/UX emphasis
4th grade place value,https://hidezerocards.org/,informational,2,Grade-level SEO
place value manipulatives online,https://hidezerocards.org/,informational,2,Competes with virtual manipulatives
place value chart tool,https://hidezerocards.org/,informational,2,Alternative query
hide zero strategy math,https://hidezerocards.org/,informational,2,Method-specific query
expanded form tool,https://hidezerocards.org/,informational,3,Related pedagogy
number cards place value,https://hidezerocards.org/,informational,3,Synonym cluster